Class,Precision,Recall,F1,Support
S1,0.0,0.0,0.0,2
S2,0.01150575287643822,1.0,0.02274975272007913,23
S3,0.0,0.0,0.0,11
S4,0.0,0.0,0.0,1889
S5,0.0,0.0,0.0,74
