,distilbert_multilingual,indic_bert,mbert,xlm_roberta_large
distilbert_multilingual,1.0,0.018009004502251125,0.027013506753376687,0.0050025012506253125
indic_bert,0.018009004502251125,1.0,0.0005002501250625312,0.0
mbert,0.027013506753376687,0.0005002501250625312,1.0,0.0015007503751875938
xlm_roberta_large,0.0050025012506253125,0.0,0.0015007503751875938,1.0
