,distilbert_multilingual,indic_bert,mbert,xlm_roberta_large
distilbert_multilingual,1.0,0.0050025012506253125,0.008504252126063032,0.0
indic_bert,0.0050025012506253125,1.0,0.0240120060030015,0.0
mbert,0.008504252126063032,0.0240120060030015,1.0,0.7423711855927964
xlm_roberta_large,0.0,0.0,0.7423711855927964,1.0
