,department_entropy,severity_entropy,entropy
count,50.0,50.0,50.0
mean,2.4772409200668335,1.5519504022598267,4.029191298484802
std,0.026688259681822233,0.03095521135808005,0.04358636021330803
min,2.4051105976104736,1.471022605895996,3.9305639266967773
25%,2.459042251110077,1.5324928760528564,3.9989251494407654
50%,2.4849560260772705,1.5529683828353882,4.0282368659973145
75%,2.4963582158088684,1.573631763458252,4.070415377616882
max,2.515730381011963,1.600390076637268,4.109602928161621
