Class,Precision,Recall,F1,Support
S1,0.0,0.0,0.0,2
S2,0.0,0.0,0.0,23
S3,0.0,0.0,0.0,11
S4,0.0,0.0,0.0,1889
S5,0.03701850925462731,1.0,0.0713941148094549,74
