experiment,architecture,seed,epoch,training_time,train_loss,val_loss,train_specialist_acc,val_specialist_acc,train_severity_acc,val_severity_acc
EXP_20260724_ACES_ONLY_SEED_1024_ebebb600,aces_only,1024,9,19.328927755355835,1.1325795887005954,1.9384885043428655,0.5768703754453275,0.31798245614035087,0.9690326116744313,0.9035087719298246
EXP_20260724_ACES_ONLY_SEED_123_16fc1e1b,aces_only,123,7,19.075096607208252,1.313525455035259,1.8141630176912273,0.5428884625924911,0.35964912280701755,0.9490271307207454,0.8881578947368421
EXP_20260724_ACES_ONLY_SEED_42_ed08db0b,aces_only,42,10,19.487434148788452,1.1111793141719184,1.793742901400516,0.5820772814469718,0.2850877192982456,0.9646478487256782,0.8991228070175439
EXP_20260724_ACES_ONLY_SEED_456_dbd6b423,aces_only,456,7,19.062105417251587,1.2118943481453153,1.7288382701706468,0.5516579884899973,0.34210526315789475,0.9586187996711428,0.9232456140350878
EXP_20260724_ACES_ONLY_SEED_789_efdf3437,aces_only,789,7,19.299575567245483,1.256694043244555,1.7091280912098132,0.5437106056453823,0.3574561403508772,0.951493559879419,0.9078947368421053
EXP_20260724_AMCO_ONLY_SEED_1024_de8e6924,amco_only,1024,10,18.886860132217407,1.1751811815373177,1.9465237667686062,0.5812551383940806,0.3355263157894737,0.9709509454645108,0.9166666666666666
EXP_20260724_AMCO_ONLY_SEED_123_2712dbc7,amco_only,123,5,19.157565593719482,1.7490055762143553,1.8649712759151793,0.4823239243628391,0.4473684210526316,0.8961359276514114,0.8859649122807017
EXP_20260724_AMCO_ONLY_SEED_42_1783fc3d,amco_only,42,8,19.3079776763916,1.2845554227010947,1.8208965334975928,0.5541244176486708,0.3355263157894737,0.9520416552480132,0.9100877192982456
EXP_20260724_AMCO_ONLY_SEED_456_22ce91b9,amco_only,456,8,19.274656534194946,1.2302267613493276,1.8259980553074886,0.5546725130172651,0.37719298245614036,0.9588928473554399,0.9166666666666666
EXP_20260724_AMCO_ONLY_SEED_789_983e30ef,amco_only,789,8,19.07688307762146,1.2534147097039268,1.7645758306770993,0.5420663195395999,0.38596491228070173,0.9602630857769252,0.9232456140350878
EXP_20260724_BASELINE_SEED_1024_f4effa0e,baseline,1024,10,19.427520275115967,1.1751811815373177,1.9465237667686062,0.5812551383940806,0.3355263157894737,0.9709509454645108,0.9166666666666666
EXP_20260724_BASELINE_SEED_123_faec565a,baseline,123,5,19.343405723571777,1.7490055762143553,1.8649712759151793,0.4823239243628391,0.4473684210526316,0.8961359276514114,0.8859649122807017
EXP_20260724_BASELINE_SEED_42_2b582e2d,baseline,42,10,19.121997594833374,1.2005700584992085,1.836376759043911,0.5565908468073445,0.3530701754385965,0.9632776103041929,0.9100877192982456
EXP_20260724_BASELINE_SEED_456_f621b4be,baseline,456,8,19.53390645980835,1.2302267613493276,1.8259980553074886,0.5546725130172651,0.37719298245614036,0.9588928473554399,0.9166666666666666
EXP_20260724_BASELINE_SEED_789_70fc9e90,baseline,789,8,19.53183078765869,1.2534147097039268,1.7645758306770993,0.5420663195395999,0.38596491228070173,0.9602630857769252,0.9232456140350878
EXP_20260724_CCSM_ONLY_SEED_1024_36691b95,ccsm_only,1024,7,18.438140392303467,1.3382843527018975,2.0057246099438584,0.5406960811181145,0.36403508771929827,0.9490271307207454,0.9078947368421053
EXP_20260724_CCSM_ONLY_SEED_123_932dc877,ccsm_only,123,6,18.651597499847412,1.5153948528272023,1.9587515738972447,0.5069882159495752,0.41228070175438597,0.9361468895587832,0.8903508771929824
EXP_20260724_CCSM_ONLY_SEED_42_5361c957,ccsm_only,42,9,18.634941577911377,1.2129896238556495,1.8395197767960398,0.5700191833379008,0.3355263157894737,0.9610852288298164,0.9100877192982456
EXP_20260724_CCSM_ONLY_SEED_456_bbaee5c6,ccsm_only,456,6,18.644532918930054,1.5209712354932363,1.960031367184823,0.5198684571115374,0.37280701754385964,0.9249109345026034,0.9078947368421053
EXP_20260724_CCSM_ONLY_SEED_789_88b33761,ccsm_only,789,8,18.706360816955566,1.334139329533147,1.8815125603424876,0.5305563167991231,0.3815789473684211,0.9542340367223897,0.9100877192982456
EXP_20260724_DCCF_ONLY_SEED_1024_df39938e,dccf_only,1024,10,19.033161163330078,1.1751811815373177,1.9465237667686062,0.5812551383940806,0.3355263157894737,0.9709509454645108,0.9166666666666666
EXP_20260724_DCCF_ONLY_SEED_123_d6399e4b,dccf_only,123,5,18.812334775924683,1.7490055762143553,1.8649712759151793,0.4823239243628391,0.4473684210526316,0.8961359276514114,0.8859649122807017
EXP_20260724_DCCF_ONLY_SEED_42_ad96d6ef,dccf_only,42,8,19.270524740219116,1.2845554227010947,1.8208965334975928,0.5541244176486708,0.3355263157894737,0.9520416552480132,0.9100877192982456
EXP_20260724_DCCF_ONLY_SEED_456_1105e7c4,dccf_only,456,8,19.205655336380005,1.2302267613493276,1.8259980553074886,0.5546725130172651,0.37719298245614036,0.9588928473554399,0.9166666666666666
EXP_20260724_DCCF_ONLY_SEED_789_69b8519a,dccf_only,789,8,19.222384929656982,1.2534147097039268,1.7645758306770993,0.5420663195395999,0.38596491228070173,0.9602630857769252,0.9232456140350878
EXP_20260724_FULL_ARCHITECTURE_SEED_1024_3425220e,full_architecture,1024,8,18.63800048828125,1.209909351043879,2.0079767578526546,0.571115374075089,0.28728070175438597,0.9575226089339545,0.9013157894736842
